Name;Nodes;Edges;In_Density;Nodes_H;Edges_H;Out_Density;Time
deezer_europe_edges;28281;92752;3.27966;272;2302;8.46324;3.18906e+09
facebook_company;22468;6495;0.289078;73;259;3.54795;7.90322e+08
facebook_gov;22467;6880;0.306227;64;222;3.46875;8.31433e+08
facebook_political;22460;5768;0.256812;59;167;2.83051;7.4141e+08
facebook_tvshow;22441;3327;0.148255;76;158;2.07895;7.35334e+08
git_0;37698;27961;0.74171;245;1673;6.82857;1.91411e+09
git_1;37692;9739;0.258384;212;597;2.81604;1.8947e+09
testAlg0;8;11;1.375;7;10;1.42857;1.562e+06
testAlg2;10;16; 1.2 ;5;10;2;1.6862e+06
testAlg3;9;13;1.44444;5;9; 1.8 ;1.7556e+06
testAlg4;19;28;1.47368;7;12;1.71429;2.6249e+06
graph300;300;22670;75.5667;215;16674;77.5535;5.30751e+08
graph600;600;90378;150.63;431;65879;152.852;2.12387e+09
graph800;800;160267;200.334;583;118180;202.71;3.75707e+09
graph1000;1000;250669;250.669;718;182170;253.719;5.91944e+09
graph2000;2000;1000597;500.298;1359;686692;505.292;2.35088e+10
lastfm_asia_edges;7624;27806;3.64717;61;902;14.7869;8.57729e+08
musae_chameleon_edges;2277;36101;15.8546;230;11794;51.2783;9.16592e+08
musae_crocodile_edges;11631;180020;15.4776;505;23414;46.3644;4.71829e+09
musae_facebook_edges;22470;171002;7.61024;320;11202;35.0063;4.88066e+09
musae_git_edges;37700;289003;7.66586;735;22229;30.2435;8.58556e+09
musae_squirrel_edges;5201;217073;41.7368;932;134670;144.496;5.3419e+09
testG_14;14;9;0.642857;3;3;1;1.451e+06
testG9_;9;6;0.666667;3;3;1;1.4996e+06
testG400;396;24;0.0606061;3;3;1;6.7812e+06
testG4000;4000;2165;0.54125;49;95;1.93878;1.11053e+08
