node1,node2
175,25306
175,24444
175,23277
175,1609
175,7950
175,22040
175,23254
175,27821
175,27152
175,12257
175,17787
193,1604
193,495
193,6177
193,23932
193,4693
193,12257
193,27821
193,17847
193,21438
193,1609
369,11080
369,22040
369,1275
369,23298
369,14129
369,12399
369,27788
369,5984
369,26554
369,24422
369,7166
369,18679
369,3753
369,24444
369,2986
369,14995
369,23708
369,27821
369,17787
369,26503
369,495
369,9572
425,6177
425,23254
425,7350
425,10090
425,9553
425,7410
425,7885
425,20008
425,15543
425,19548
425,11444
425,4328
495,193
495,369
495,6177
495,5262
495,8846
495,7820
495,23298
495,18679
495,19817
495,22416
495,23277
495,15619
495,26503
495,7600
495,9215
495,19086
495,5327
495,18369
495,19853
495,5984
495,15676
495,1604
495,27821
495,23932
495,4101
495,15201
495,24610
495,12708
495,4693
495,14010
495,7595
495,18533
495,8318
495,17902
681,19817
681,2701
681,16386
681,21638
681,15619
681,1015
681,19576
681,2986
681,828
681,14129
681,22734
681,12341
681,15727
828,681
828,5150
828,19857
828,9323
828,1015
828,26554
828,12956
828,19576
828,17263
828,2986
828,7820
828,21638
828,24280
828,4442
828,22734
828,24823
828,11880
828,20222
828,19169
828,9905
828,20667
828,17657
828,16386
828,9915
828,24104
828,15727
898,19857
898,12512
898,16694
898,12346
898,10674
898,19410
898,21257
898,9524
898,20292
898,20504
898,25206
898,3987
898,26753
898,7791
898,3206
898,21886
898,12341
898,8156
898,10496
1015,681
1015,828
1015,19857
1015,20222
1015,24610
1015,5716
1015,5984
1015,12444
1015,10393
1015,21094
1015,19576
1015,6533
1015,3753
1015,26554
1015,2986
1015,2701
1015,17630
1015,24280
1015,22734
1015,11880
1126,19857
1126,3987
1126,12346
1126,5716
1126,3206
1126,21369
1126,9524
1126,15928
1126,20503
1126,19115
1126,26753
1126,7695
1126,21886
1126,6533
1126,10496
1275,369
1275,27314
1275,10061
1275,22040
1275,8437
1275,14129
1275,21456
1275,15426
1275,9905
1275,7111
1275,12145
1275,24608
1275,12708
1275,24823
1343,25443
1343,6495
1343,2635
1343,5716
1343,19169
1343,20367
1343,24028
1343,6239
1343,17263
1343,20008
1343,10090
1343,14445
1343,23983
1343,24104
1604,193
1604,495
1604,26413
1604,19712
1604,22471
1604,5815
1604,15477
1604,12495
1604,24122
1604,5327
1604,2986
1604,18533
1604,19817
1604,4548
1604,27821
1604,23932
1604,4101
1604,14445
1604,18679
1604,19853
1609,175
1609,193
1609,26413
1609,7595
1609,12556
1609,10876
1609,18369
1609,27821
1609,12257
1609,19033
1609,15201
1609,14010
1609,22040
1609,6495
1609,25735
1609,17787
1609,9367
1609,4581
1622,14559
1622,11804
1622,12565
1622,10114
1622,12056
1622,7323
1622,9067
1622,10487
1622,25901
1622,17819
1622,15141
1622,21798
1622,27016
1622,8841
1622,23361
1713,9631
1713,21139
1713,18920
1713,21123
1713,4626
1713,11535
1713,12792
1713,7471
1713,25636
1713,4287
1713,22787
1713,3609
1713,20786
1713,21111
1713,14309
1948,22471
1948,26503
1948,26312
1948,15477
1948,5327
1948,27569
1948,9563
1948,18909
1948,27821
1948,26340
1948,24122
1948,4101
1979,3987
1979,5716
1979,12346
1979,21369
1979,9524
1979,20504
1979,20503
1979,27758
1979,25206
1979,26753
1979,3206
1979,21886
1979,16694
2470,21423
2470,11080
2470,3753
2470,23298
2470,14129
2470,27788
2470,5984
2470,5262
2470,26503
2470,21945
2470,5587
2470,19819
2470,7166
2470,23708
2470,6657
2521,9631
2521,9252
2521,9253
2521,21111
2521,4626
2521,3121
2521,11535
2521,21688
2521,15682
2521,25636
2521,18920
2521,24005
2521,12792
2521,13756
2521,7471
2521,3357
2635,1343
2635,7820
2635,23298
2635,22416
2635,7885
2635,9553
2635,12956
2635,6239
2635,23254
2635,4328
2635,24028
2635,23983
2635,7350
2635,20355
2635,19169
2635,10393
2635,17963
2635,4693
2635,7410
2635,17263
2635,19548
2635,11859
2635,17630
2635,20367
2635,26503
2701,681
2701,1015
2701,21094
2701,20667
2701,20849
2701,19819
2701,9915
2701,12956
2701,9572
2701,11880
2986,369
2986,681
2986,828
2986,1015
2986,1604
2986,23298
2986,12399
2986,5984
2986,9323
2986,17657
2986,6848
