id_1,id_2
1,22208
1,14344
1,16260
1,17370
1,8049
1,5307
1,4987
1,19743
1,20024
1,21729
2,9048
2,6353
2,19337
2,8495
3,293
3,5826
3,10945
4,13645
4,2830
4,20624
4,1182
4,21538
4,6390
4,9263
4,2282
4,9706
4,1377
4,3891
4,4109
5,18468
5,6946
5,12902
5,4808
5,14241
5,7106
6,1193
6,4000
6,290
6,22261
6,18782
6,3816
8,13872
8,14205
11,8106
12,18059
13,1744
13,2280
13,7235
13,16282
14,2904
14,15323
14,1041
14,14392
14,9946
14,4328
14,4502
14,8004
14,11557
14,14164
14,16534
14,1943
14,9105
14,12017
14,16630
17,17433
17,21059
18,11804
18,5458
18,9677
18,8139
18,8232
18,15174
18,1209
18,3279
18,4502
18,16524
18,14547
19,9184
19,16420
19,1773
19,4048
7427,21787
7427,6980
7427,3821
7427,15543
7427,17357
7427,6696
7427,347
7427,9905
7427,5951
22,17818
22,14179
22,15129
22,4794
22,5215
22,19111
22,10393
22,11816
24,6432
26,6290
26,17848
26,19957
26,7694
26,18153
26,3779
27,5890
27,21247
27,21785
11197,6272
11197,1308
29,4754
29,14971
29,11158
29,20895
29,15359
30,17178
30,16854
31,13716
31,1722
32,12869
32,10041
32,22330
32,19574
32,7095
32,9986
32,14248
32,8636
32,5619
32,20280
32,7041
32,6622
32,8766
32,20983
32,2157
32,6083
32,4075
32,22467
32,1024
34,14106
36,7360
36,1293
37,6290
37,10544
37,17848
37,3779
37,9235
38,2124
38,21229
38,14944
39,13130
39,4225
39,8977
39,21630
41,9484
41,19667
41,18515
41,8669
41,15413
41,45
42,909
43,10997
43,21626
44,4751
44,4031
44,568
44,18235
44,839
44,7288
44,19621
44,14703
44,12025
44,5525
44,18167
44,6706
44,4917
44,13074
44,3074
44,18539
44,1517
44,5010
44,8795
45,7887
45,15604
45,14796
45,6095
45,5337
46,16368
46,365
47,1125
47,22277
47,630
47,1503
47,17983
48,16879
49,2599
49,655
49,7799
49,9256
49,14076
49,19014
49,1274
49,12285
49,280
49,19626
50,8606
50,20153
50,3530
50,15969
50,9240
50,3695
52,13463
52,6333
52,10857
52,17291
54,14402
54,12462
55,12472
55,10980
55,15839
55,19001
56,9872
56,13197
56,18853
56,5057
56,20024
56,1635
56,18970
56,723
56,7951
57,5400
57,9882
60,1193
60,11140
60,17860
60,5777
60,5066
60,15644
61,11028
61,1922
61,11888
61,4909
61,15904
61,18569
61,13627
61,6130
61,4739
61,12410
61,10518
61,1521
61,9364
61,12846
61,2857
61,17289
61,13238
61,16400
61,4601
61,8968
61,13339
61,9417
61,785
63,6511
8677,20257
8677,12831
8677,8837
8677,3094
8677,22052
8677,20029
8677,19654
65,19598
65,872
65,789
66,15718
66,1679
66,4846
66,9382
66,3987
67,14628
68,10922
69,526
69,20012
69,959
70,21366
70,20076
70,12830
70,7595
71,4677
72,19743
72,783
72,10379
72,11460
72,11817
73,580
73,9578
73,19203
74,16299
74,12007
74,12437
74,19474
74,17307
74,17922
74,15213
74,6844
74,15502
74,4630
75,2442
14854,2725
14854,2648
77,22229
77,20555
77,6552
77,12151
77,1597
77,16618
77,7768
77,21211
79,11173
79,20335
80,8426
81,16303
81,13400
81,14577
81,2232
81,7499
81,5823
81,7295
81,5713
81,17897
81,6335
81,12672
82,7422
82,18002
83,18859
83,3553
83,5937
85,13899
86,15845
88,13958
88,19476
88,14181
88,19870
88,7535
88,14115
88,8482
88,19992
88,1271
88,5307
88,20827
89,11531
89,17441
89,4769
90,11341
90,14154
90,20433
90,6057
90,5716
90,19941
90,11007
90,8025
90,4499
90,8883
90,1123
91,20466
92,15986
92,7487
7437,3420
7437,12650
7437,12845
7437,19491
93,6709
94,767
94,6409
94,4499
94,5212
95,4755
95,4188
95,7196
95,9330
95,17620
95,6781
95,6395
95,4423
95,20636
95,11480
95,10579
95,2922
96,20388
97,7076
98,6091
98,10779
98,17128
98,10657
22374,14181
22374,5808
22374,8606
22374,20024
22374,3073
22374,21013
22374,9784
22374,5748
22374,3935
22374,13899
22374,10379
22374,6116
22374,5307
22374,11957
22374,517
22374,3491
99,12472
99,10980
99,4653
99,3221
99,15839
99,20337
99,20778
99,18819
99,18369
100,3705
100,17321
100,1503
101,787
101,19525
101,9034
101,2966
101,4118
101,18869
101,11375
101,17738
101,18167
101,15449
101,12759
101,13140
101,5082
102,1766
102,18473
102,7221
102,15097
102,15055
103,1136
103,4076
103,10497
103,4526
103,2869
104,13755
104,6358
104,20756
104,21598
104,10731
105,5548
105,10632
105,21165
105,18953
105,12429
105,1640
106,13551
106,16975
106,19702
106,21280
106,21538
106,3838
106,8910
106,5147
106,14628
106,8712
106,14591
106,3138
106,17065
106,3676
106,17740
106,1377
106,8395
106,20049
109,4830
109,511
109,7618
109,5987
109,3192
109,14170
109,21022
109,17881
109,14166
109,3863
110,9239
110,6083
110,18825
110,15408
110,13294
110,8509
110,21088
112,10426
112,17866
113,18006
113,13134
113,18100
113,13537
113,16992
113,4907
113,17079
113,11379
113,12160
113,5799
113,6621
113,2959
114,10368
114,20462
114,3622
114,8637
115,10570
115,4221
116,9600
116,3052
116,7179
22282,19540
22282,16823
22282,6181
22282,16813
120,17252
120,11229
120,7749
120,22330
120,7005
120,4075
120,17833
121,15280
121,3628
121,8098
121,7411
121,13234
123,8606
123,375
123,14181
123,10617
123,6829
123,14562
123,21663
123,20844
123,19093
123,8473
124,15262
124,5784
124,17827
125,19856
125,8566
126,4601
126,15378
126,19969
126,17728
126,17318
127,11449
127,11273
127,8631
127,5896
127,18966
127,16993
127,15236
127,6140
127,1639
127,10468
127,2572
127,12247
127,4516
127,19135
127,19743
127,15283
127,9275
127,7848
127,3496
127,13428
127,13915
127,16895
128,8396
128,6811
128,9928
128,21828
128,13423
128,9936
128,672
128,4476
128,9602
129,22359
129,10257
129,18424
129,19640
129,10174
129,12853
129,5353
129,22283
129,3996
129,16895
129,12982
130,4147
130,10912
130,11467
130,18288
130,21708
130,9934
130,3797
130,22316
130,18744
130,7066
130,21729
131,7162
132,11345
132,19013
132,264
133,1901
133,14031
133,19743
133,1087
133,18062
133,21729
133,17697
133,17791
133,14403
133,22443
133,11894
133,17231
133,9389
133,19432
133,12283
133,15012
134,11984
134,555
134,17254
134,21214
134,12977
134,8555
134,20076
134,13764
134,20254
134,2144
134,16709
136,3533
136,10511
136,2170
14864,4141
14864,18917
138,4758
138,12064
138,11003
138,5158
138,19732
138,11181
138,7350
138,5448
138,11712
138,13639
138,11611
138,15187
138,21586
138,8377
140,5948
140,12677
141,5035
141,3576
141,20083
141,233
141,3449
142,10166
142,682
142,2119
142,10234
142,9928
142,7969
144,10661
144,21392
145,15399
145,4687
145,10980
145,2612
145,14503
147,2972
147,11942
148,21671
148,14981
149,12601
149,248
150,11341
150,8606
150,19757
150,20758
150,15468
151,4186
151,12031
151,959
153,2689
154,1054
7447,6553
7447,8655
7447,10088
7447,17102
156,10976
156,3906
156,17056
156,21206
156,7091
156,13098
157,7735
157,14900
157,16408
157,11389
157,13297
157,20632
157,19889
159,4399
159,5458
159,4461
159,14497
159,8869
159,5694
159,3584
159,983
159,2442
159,159
159,4518
159,12408
159,21740
159,14045
159,15773
159,18208
159,17984
160,9620
160,170
160,17080
160,6775
160,9021
162,20458
164,971
164,349
164,19148
165,10905
165,2271
165,10803
165,13101
165,3174
165,16868
165,21635
165,11319
166,5538
166,21676
168,2703
168,17765
169,5878
171,8482
171,20937
171,7258
172,3690
173,1169
173,710
173,20879
173,21325
173,8572
173,10241
173,9176
173,15647
173,3469
173,6719
173,18105
173,1094
173,1078
173,16960
173,12450
173,4670
173,21120
173,7015
173,17598
173,13382
174,18504
175,2725
175,4989
176,6420
176,15586
176,20068
176,8941
176,8537
176,9471
176,4382
176,10639
176,13756
176,1627
176,1101
176,7642
176,15507
176,14218
176,15005
176,16892
176,1985
178,12153
178,14787
178,11312
179,4067
179,12930
180,10783
180,14910
181,21328
181,10102
181,2927
182,3062
182,1912
182,6633
182,17377
183,22010
183,9684
183,5460
183,5663
184,18112
184,9003
185,1886
185,17126
185,1148
185,11494
185,17476
185,2554
186,19279
186,10174
186,19457
186,20396
186,22380
187,14264
187,6474
187,10860
187,2004
187,7076
187,12300
187,13776
187,16779
187,6390
187,19803
