node1,node2
113,6792
113,2571
113,4754
113,5402
113,290
113,3108
113,3240
113,427
113,1334
113,7226
113,1348
113,7237
113,4809
113,6108
113,5854
113,5090
113,1555
113,6391
113,3961
113,378
113,763
113,7548
290,113
290,2326
290,3240
290,2083
290,3108
290,4809
290,3165
290,5854
290,7226
290,7237
290,5703
290,1555
290,7284
290,3961
290,378
290,6792
290,5769
290,2452
290,7075
290,2725
290,2734
290,3504
290,951
290,3544
290,4900
290,6108
290,2014
290,5090
290,2798
290,4086
290,6391
290,763
378,113
378,290
378,6789
378,6792
378,5769
378,3597
378,4754
378,1555
378,2452
378,406
378,6105
378,5530
378,3108
378,5402
378,3397
378,7075
378,4900
378,2725
378,3240
378,2734
378,3504
378,2878
378,5556
378,2014
378,1334
378,951
378,2326
378,7226
378,2238
378,1348
378,7237
378,5703
378,4809
378,5090
378,3544
378,473
378,6108
378,3165
378,5854
378,763
378,3644
378,6891
378,2029
378,2798
378,7284
378,4086
378,6391
378,3961
406,378
406,5124
406,3597
406,1555
406,6105
406,5530
406,7237
406,2083
406,3108
406,2725
406,3240
406,427
406,2734
406,3504
406,1334
406,951
406,2571
406,1348
406,3397
406,5703
406,4809
406,7075
406,6870
406,3544
406,6108
406,5090
406,1381
406,2029
406,6789
406,7284
406,4086
406,3961
406,763
427,113
427,406
427,2571
427,1348
427,3397
427,6792
427,473
427,4754
427,1555
427,4086
427,5402
427,5124
427,3108
427,5090
427,2083
427,1381
427,3240
427,2029
427,7284
427,1334
427,4900
427,3961
427,763
427,7237
473,378
473,427
473,6789
473,5769
473,4754
473,4883
473,5530
473,2083
473,3108
473,2725
473,3240
473,2476
473,2734
473,5556
473,1334
473,7237
473,4809
473,7398
473,6891
473,2798
473,7548
473,763
743,7237
743,4809
743,2326
743,4883
743,6105
743,3165
743,3108
743,2083
743,1381
743,7398
743,6891
743,2734
743,2725
743,1555
743,951
743,5556
743,5402
743,2878
763,113
763,290
763,378
763,406
763,427
763,473
763,5124
763,2476
763,2571
763,3597
763,1555
763,2326
763,4900
763,5402
763,2083
763,3108
763,6105
763,2014
763,1334
763,5944
763,7226
763,3644
763,2878
763,1348
763,3397
763,3165
763,1381
763,7284
763,3961
763,6891
763,6789
763,6792
763,5769
763,4754
763,2452
763,5530
763,2725
763,3240
763,2734
763,5556
763,951
763,2238
763,4809
763,7075
763,6870
763,3544
763,6108
763,5854
763,5090
763,2029
763,2798
763,4086
763,6391
763,7237
951,290
951,378
951,406
951,743
951,763
951,6789
951,6792
951,2571
951,3597
951,1555
951,2452
951,2734
951,6105
951,7237
951,7075
951,3108
951,2725
951,3240
951,3504
951,5556
951,1334
951,5769
951,2878
951,1348
951,3397
951,4809
951,2083
951,3544
951,4900
951,6108
951,3165
951,5090
951,1381
951,6891
951,4754
951,4086
951,6391
951,3961
951,2476
1334,113
1334,378
1334,406
1334,427
1334,473
1334,763
1334,951
1334,5124
1334,6789
1334,6792
1334,5769
1334,2571
1334,3597
1334,4754
1334,4883
1334,2452
1334,2734
1334,6105
1334,5402
1334,5530
1334,7237
1334,2083
1334,3108
1334,3240
1334,4809
1334,2476
1334,3504
1334,5556
1334,7226
1334,3644
1334,2878
1334,1348
1334,3397
1334,7075
1334,3544
1334,4900
1334,6108
1334,3165
1334,5090
1334,1381
1334,7398
1334,6891
1334,2029
1334,2798
1334,1555
1334,7284
1334,2238
1334,4086
1334,6391
1334,3961
1334,7548
1348,113
1348,378
1348,406
1348,427
1348,763
1348,951
1348,1334
1348,2571
1348,3597
1348,4754
1348,3397
1348,7075
1348,4900
1348,3240
1348,3961
1348,3504
1348,2238
1348,7237
1348,5703
1348,4809
1348,5944
1348,3544
1348,6105
1348,5090
1348,1381
1348,2029
1348,7284
1348,7548
1381,406
1381,427
1381,743
1381,763
1381,951
1381,1334
1381,1348
1381,5769
1381,4754
1381,4883
1381,2083
1381,3108
1381,2734
1381,5556
1381,5944
1381,2238
1381,5090
1381,6870
1381,3544
1381,5854
1381,3597
1381,3240
1381,7284
1381,2878
1381,4086
1381,3961
1381,7548
1381,7237
1555,113
1555,290
