node1,node2
1,1847
1,1847
1,1661
1,1803
1,1661
1,1803
45,2158
45,2030
45,637
45,890
45,1912
45,1152
45,393
45,1534
45,1666
45,904
45,905
45,2177
45,1923
45,141
45,2179
45,276
45,1291
45,531
45,1039
45,660
45,2186
45,2058
45,1170
45,886
45,666
45,1683
45,921
45,922
45,1814
45,1520
45,1817
45,1184
45,1949
45,1567
45,1187
45,936
45,2081
45,1066
45,52
45,310
45,60
45,949
45,2220
45,1714
45,1968
45,1845
45,2228
45,1466
45,960
45,1727
45,1984
45,1739
45,1613
45,2122
45,979
45,220
45,2254
45,1875
45,351
45,479
45,2004
45,2006
45,1371
45,1633
45,1639
45,2020
45,1640
45,880
45,881
45,505
45,1777
52,669
52,1923
52,121
52,1339
52,1567
52,515
52,162
52,979
52,1581
52,2006
52,1892
52,1066
52,1004
52,248
52,1018
52,205
52,1666
52,2177
52,393
52,1563
52,736
52,1276
52,754
52,881
52,637
52,1534
52,1334
52,2158
52,2030
52,637
52,890
52,1912
52,1534
52,393
52,1152
52,1666
52,904
52,905
52,2177
52,1923
52,141
52,2179
52,276
52,531
52,660
52,1931
52,2186
52,1170
52,2058
52,1291
52,1683
52,921
52,922
52,1814
52,1520
52,1817
52,1184
52,1949
52,1567
52,1187
52,936
52,2081
52,1066
52,310
52,949
52,2220
52,1714
52,1968
52,1845
52,2228
52,1466
52,960
52,1727
52,1984
52,1739
52,1613
52,2122
52,979
52,220
52,2254
52,1875
52,351
52,479
52,2004
52,2006
52,1371
52,1633
52,1639
52,1640
52,881
52,505
52,886
52,619
52,858
52,921
52,1520
52,505
52,1949
52,218
52,394
52,276
52,1739
52,774
52,778
52,1187
52,1683
52,1170
52,724
52,479
52,220
52,1184
52,951
52,1466
52,1152
52,2158
52,141
52,123
52,308
52,1613
52,905
52,437
52,2081
52,1845
52,89
52,1480
52,160
52,1633
52,329
52,692
52,454
52,1697
52,480
52,636
52,2058
52,482
52,1625
52,1663
52,136
52,45
52,514
52,2254
52,1253
52,710
52,922
52,183
52,904
52,1968
52,2220
52,2030
52,766
52,960
52,1070
52,1670
52,1639
52,236
52,531
52,258
52,386
52,351
52,2179
52,880
52,1371
52,1742
52,1827
52,1097
52,214
52,433
52,2004
52,2228
52,1931
52,1984
52,131
52,1875
52,1714
52,1912
52,268
52,890
52,1948
52,310
52,541
52,1167
52,936
52,660
52,1230
52,1814
52,1411
52,949
52,99
52,1727
52,2027
52,886
52,2122
52,1640
52,1291
52,577
52,76
52,1824
52,927
60,1581
60,205
60,2177
60,393
60,1563
60,1520
60,1949
60,394
60,724
60,220
60,951
60,1613
60,905
60,437
60,2081
60,329
60,1697
60,636
60,136
60,45
60,183
60,904
60,2158
60,890
60,1912
60,1152
60,141
60,904
60,905
60,2177
60,2179
60,531
60,1931
60,921
60,1814
60,1817
60,1949
60,1184
60,1567
60,949
60,1845
60,2228
60,960
60,581
60,1613
60,979
60,2006
60,1639
60,2020
60,880
60,1774
60,581
60,766
60,960
60,1670
60,1639
60,258
60,880
60,1742
60,1827
60,1097
60,1931
60,131
60,2020
60,1774
60,310
60,541
60,1167
60,660
60,1814
60,1411
60,949
60,99
60,1291
60,577
70,1220
70,1089
70,2134
70,366
70,760
70,1398
70,2165
70,1530
70,1023
70,897
70,1409
70,1918
70,1921
70,1285
70,2175
70,2053
70,1547
70,2192
70,1303
70,2199
70,296
70,2204
70,1569
70,1321
70,2221
70,443
70,2223
70,699
70,2225
70,572
70,956
70,829
70,1344
70,2236
70,841
70,970
70,1606
70,1988
70,1224
70,1232
70,1492
70,1622
70,1750
70,1495
70,2134
70,373
70,1247
70,1887
70,2013
70,1762
70,366
70,1127
70,1895
70,370
70,1898
70,1013
70,354
76,2158
76,2030
76,637
76,890
76,1912
76,515
76,1152
76,393
76,1534
76,1666
76,904
76,905
76,2177
76,141
76,2179
76,276
76,1291
76,660
76,1931
76,2186
76,2058
76,1170
76,1039
76,1683
76,921
76,922
76,1814
76,1520
76,1184
76,1949
76,1567
76,1187
76,936
76,2081
76,1066
76,52
76,310
76,949
76,2220
76,1714
76,1968
76,1845
76,2228
76,1466
76,960
76,581
76,1727
76,1984
76,1739
76,2122
76,979
76,220
76,2254
76,1875
76,351
76,479
76,2004
76,2006
76,1371
76,1633
76,1639
76,2020
76,1640
76,881
76,1774
76,505
76,886
89,2158
89,2030
89,637
89,890
89,1912
89,1152
89,393
89,1534
89,1666
89,904
89,905
89,2177
89,1923
89,141
89,2179
89,276
89,1291
89,531
89,660
89,1931
89,2058
89,1170
89,1683
89,921
89,922
89,1814
89,1520
89,1184
89,1949
89,1567
89,1187
89,2081
89,1066
89,52
89,310
89,949
89,1714
89,1968
89,1845
89,2228
89,1466
89,960
89,1727
89,1984
89,1739
89,2122
89,979
89,220
89,2254
89,1875
89,351
89,479
89,2004
89,2006
89,1371
89,1633
89,1639
89,1640
89,881
89,505
89,886
99,2158
99,2030
99,637
99,890
99,515
99,1912
99,1152
99,393
99,1534
99,1666
99,904
99,905
99,2177
99,141
99,2179
99,276
99,531
99,660
99,1931
99,2058
99,1170
99,1683
99,921
99,922
99,1814
99,1520
99,1817
99,1184
99,1949
99,1567
99,1187
99,936
99,2081
99,1066
99,52
99,310
99,60
99,949
99,2220
99,1714
99,1968
99,1845
99,2228
99,1466
99,960
99,1727
99,1984
99,1739
99,1613
99,2122
99,979
99,220
99,2254
99,1875
99,351
99,479
99,2004
99,2006
99,1371
99,1633
99,1639
99,2020
99,1640
99,881
99,505
99,886
102,2143
102,2194
102,2194
102,2143
121,2158
121,2030
121,637
121,890
121,1912
121,1534
121,393
121,1152
121,1666
121,904
121,905
121,2177
121,1923
121,141
121,2179
121,531
121,660
121,1931
121,2186
121,2058
121,1170
121,1291
121,276
121,921
121,1683
121,1814
121,922
121,1520
121,1184
121,1949
121,1567
121,1187
121,2081
121,1066
121,52
121,310
121,949
121,2220
121,1714
121,1968
121,1845
121,2228
121,1466
121,960
121,1727
121,1984
121,1739
121,2122
121,979
121,220
121,2254
121,1875
121,351
121,479
121,2004
121,2006
121,1371
121,1633
121,886
121,1639
121,2020
121,1640
121,881
121,505
121,1777
123,2158
123,2030
123,637
123,890
123,1912
123,1152
123,393
123,1534
123,1666
123,904
123,905
123,2177
123,1923
123,141
123,2179
123,276
123,1291
123,531
123,660
123,1931
123,2058
123,1170
123,1683
123,921
123,922
123,1814
123,1520
123,1817
123,1949
123,1184
123,1187
123,1567
123,936
123,2081
123,1066
123,52
123,310
123,949
123,2220
123,1714
123,1968
123,1845
123,1466
123,960
123,1727
123,1984
123,1739
123,1613
123,2122
123,979
123,220
123,2254
123,1875
123,351
123,479
123,2004
123,2006
123,1371
123,1633
123,1639
123,1640
123,881
123,505
123,886
131,2158
131,2030
131,637
131,890
131,1912
131,1534
131,393
131,1152
131,1666
131,904
131,905
131,2177
131,1923
131,141
131,2179
131,531
131,1039
131,660
131,1931
131,2186
131,1170
131,2058
131,1683
131,921
131,1291
131,922
131,1774
131,1520
131,1817
131,1184
131,1949
131,1567
131,1187
131,936
131,2081
131,1066
131,52
131,310
131,60
131,949
131,2220
131,1714
131,1968
131,1845
131,2228
131,1466
131,960
131,581
131,1727
131,1984
131,1739
131,1613
131,2122
131,979
131,220
131,2254
131,1875
131,351
131,479
131,2004
131,2006
131,1371
131,1633
131,886
131,1639
131,2020
131,1640
131,880
131,881
131,276
131,505
131,1777
136,2158
136,2030
136,637
136,890
136,1912
136,1534
136,393
136,1152
136,1666
136,904
136,905
136,2177
136,1923
136,141
136,2179
136,276
136,531
136,660
136,1931
136,2186
136,2058
136,1170
136,1291
136,1683
136,921
136,922
136,1814
136,1520
136,1817
136,1949
136,1184
136,1187
136,936
136,1567
136,1066
136,52
136,310
136,60
136,949
136,2220
136,1714
136,1968
136,1845
136,2228
136,1466
136,960
136,1727
136,1984
136,1739
136,1613
136,2122
136,979
136,220
136,2254
136,1875
136,351
136,479
136,2004
136,2006
136,1371
136,1633
136,1639
136,2020
136,1640
136,881
136,505
136,886
141,669
141,1923
141,121
141,1339
141,1567
141,515
141,162
141,979
141,1581
141,2006
141,1892
141,1066
141,1004
141,248
141,1018
141,205
141,1666
141,2177
141,393
141,1563
141,736
141,1276
141,754
141,881
141,637
141,1534
141,1334
141,52
141,619
141,858
141,921
141,1520
141,505
141,1949
141,218
141,394
141,276
141,1739
141,774
141,778
141,1187
141,1683
141,1777
141,1170
141,724
141,479
141,220
141,1184
141,951
141,1466
141,1152
141,2158
141,2158
141,2030
141,637
141,890
141,1912
141,1534
141,393
141,1152
141,1666
141,904
141,905
141,2177
141,1923
141,2179
141,276
141,1291
141,531
141,660
141,1931
141,2186
141,1170
141,2058
141,666
141,921
141,1683
141,1814
141,922
141,1774
141,1520
141,1184
141,1949
141,1567
141,1187
141,936
141,2081
141,1066
141,52
141,310
141,949
141,2220
141,1714
141,1968
141,1845
141,2228
141,1466
141,960
141,1727
141,1984
141,1739
141,2122
141,979
141,220
141,2254
141,1875
141,351
141,479
141,2004
141,2006
141,1371
141,1633
141,886
141,1639
141,1640
141,881
141,505
141,1777
141,123
141,308
141,1613
141,905
141,437
141,2081
141,1845
141,89
141,1480
141,160
141,1633
141,329
141,692
141,454
141,1697
141,480
141,636
141,2058
141,482
141,1625
141,1663
141,136
141,45
141,514
141,2254
141,1253
141,710
141,922
141,183
141,666
141,904
141,1968
141,2220
141,60
141,2030
141,766
141,960
141,1070
141,1670
141,1639
141,236
141,531
141,2186
141,258
141,386
141,351
141,2179
141,1371
141,1742
141,1827
141,1097
141,214
141,433
141,2004
141,2228
141,1931
141,1984
141,131
141,1875
141,1912
141,268
141,890
141,1948
141,1774
141,310
141,541
141,1167
141,936
141,660
141,1230
141,1814
141,1411
141,949
141,99
141,1727
141,2027
141,886
141,2122
141,1640
141,1291
141,577
141,76
141,1824
141,927
160,2158
160,2030
160,637
160,890
160,1912
160,1152
160,393
160,1534
160,141
160,904
160,905
160,2177
160,1923
160,2179
160,276
160,1291
160,531
160,660
160,1931
160,2058
160,2186
160,1170
160,1683
160,921
160,922
160,1814
160,1520
160,1184
160,1949
160,1567
160,1187
160,2081
160,1066
160,52
160,310
160,949
160,2220
160,1714
160,1968
160,1845
160,2228
160,1466
160,960
160,1727
160,1984
160,1739
160,2122
160,979
160,220
160,2254
160,1875
160,351
160,479
160,2004
160,2006
160,1371
160,1633
160,1639
160,1640
160,881
160,505
160,886
162,2158
162,2030
162,637
162,890
162,1912
162,1152
162,393
162,1534
162,1666
162,904
162,905
162,2177
162,1923
162,141
162,2179
162,276
162,1291
162,531
162,660
162,1931
162,2058
162,1170
162,1683
162,921
162,922
162,1814
162,1520
162,1817
162,1184
162,1949
162,1567
162,1187
162,936
162,2081
162,1066
162,52
162,310
162,949
162,2220
162,1714
162,1968
162,1845
162,2228
162,1466
162,960
162,1727
162,1984
162,1739
162,1613
162,2122
162,979
162,220
162,2254
162,1875
162,351
162,479
162,2004
162,2006
162,1371
162,1639
162,1640
162,881
162,505
162,886
164,746
164,2167
164,746
164,1837
164,2167
164,1837
183,2158
183,2030
183,637
183,890
183,1912
183,1534
183,393
183,1152
183,1666
183,904
183,905
183,2177
183,1923
183,141
183,2179
183,531
183,1039
183,660
183,1931
183,2186
183,1170
183,2058
183,1683
183,921
183,1291
183,922
183,1774
183,1520
183,1817
183,1184
183,1949
183,1567
183,1187
183,936
183,2081
183,1066
183,52
183,310
183,60
183,949
183,2220
183,1714
183,1968
183,1845
183,2228
183,1466
183,960
183,581
183,1727
183,1984
183,1739
183,1613
183,2122
183,979
183,220
183,2254
183,1875
183,351
183,479
183,2004
183,2006
183,1371
183,1633
183,886
183,1639
183,2020
183,1640
183,880
183,881
183,276
183,505
183,1777
205,2158
205,2030
205,637
205,890
205,1912
205,1534
205,393
205,1152
205,1666
205,904
205,905
205,2177
205,1923
205,141
205,2179
205,276
205,1291
205,531
205,660
205,1931
205,2186
205,2058
205,1170
205,1683
205,921
205,922
205,1814
205,1520
205,1184
205,1949
205,1567
205,1187
205,2081
205,1066
205,52
205,310
205,60
205,2220
205,1714
205,1968
205,1845
205,2228
205,1466
205,960
205,1727
205,1984
205,1739
205,2122
205,979
205,220
205,2254
205,1875
205,351
205,479
205,2004
205,2006
205,1371
205,1633
205,1639
205,2020
205,1640
205,881
205,505
205,886
214,2158
214,2030
214,637
214,890
214,1912
214,1534
214,393
214,1152
214,1666
214,904
214,905
214,2177
214,1923
214,141
214,2179
214,531
214,660
214,1931
214,2186
214,2058
214,1170
214,1291
214,276
214,921
214,1683
214,1814
214,922
214,1520
214,1184
214,1949
214,1567
214,1187
214,2081
214,1066
214,52
214,310
214,949
214,2220
214,1714
214,1968
214,1845
214,2228
214,1466
214,960
214,1727
214,1984
214,1739
214,2122
214,979
214,220
214,2254
214,1875
214,351
214,479
214,2004
214,2006
214,1371
214,1633
214,886
214,1639
214,2020
214,1640
214,881
214,505
214,1777
218,2158
218,2030
218,637
218,890
218,1912
218,515
218,1152
218,393
218,1534
218,1666
218,904
218,905
218,2177
218,1923
218,141
218,2179
218,276
218,1291
218,660
218,1931
218,2186
218,2058
218,1170
218,1039
218,1683
218,921
218,922
218,1814
218,1520
218,1184
218,1949
218,1567
218,1187
218,936
218,2081
218,1066
218,52
218,310
218,949
218,2220
218,1714
218,1968
218,1845
218,2228
218,1466
218,960
218,581
218,1727
218,1984
218,1739
218,2122
218,979
218,220
218,2254
218,1875
218,351
218,479
218,2004
218,2006
218,1371
218,1633
218,1639
218,2020
218,1640
218,881
218,1774
218,505
218,886
220,669
220,1923
220,121
220,1339
220,1567
220,515
220,162
220,979
220,1581
220,2006
220,1892
220,1066
220,1004
220,248
220,1018
220,205
220,1666
220,2177
220,393
220,1563
220,736
220,1276
220,754
220,881
220,637
220,1534
220,1334
220,52
220,619
220,858
220,921
220,1520
220,505
220,1949
220,218
220,394
220,276
220,1739
220,774
220,778
220,1187
220,1683
220,1777
220,1170
220,724
220,479
220,2030
220,505
220,1534
220,531
220,1039
220,2058
220,1567
220,2081
220,52
220,1066
220,60
220,581
220,1613
220,2122
220,1633
220,1639
220,1640
220,2158
220,637
220,1152
220,1666
220,141
220,2177
220,2179
220,660
220,2186
220,1170
220,666
220,1683
220,1184
220,1187
220,2220
220,1714
220,2228
220,1727
220,1739
220,2254
220,1774
220,1777
220,276
220,1291
220,1814
220,1817
220,310
220,1845
220,1875
220,351
220,1371
220,1895
220,880
220,881
220,886
220,890
220,1912
220,393
220,904
220,905
220,1923
220,1931
220,921
220,922
220,1949
220,936
220,949
220,1968
220,1466
220,960
220,1984
220,979
220,479
220,2004
220,2006
220,2020
220,1520
220,1184
220,951
220,1466
220,1152
220,2158
220,141
220,123
220,308
220,1613
220,905
220,437
220,2081
220,1845
220,89
220,1480
220,160
220,1633
