node1,node2
2,2982
2,9910
2,10081
2,10089
2,7255
2,7559
2,8359
2,10169
2,10841
2,11419
2,4060
2,10375
2,6031
2,7924
2,4213
2,4342
2,4342
2,10841
2,9191
2,10081
2,268
2,2185
2,9325
2,7924
2,9837
2,6145
2,6031
2,11509
2,7559
2,11391
2,7952
2,10375
2,9360
2,7450
2,10892
2,6947
2,11535
2,10902
2,8359
2,11419
2,2630
2,9264
2,11300
2,2008
2,10928
2,9910
2,9533
2,4060
2,8261
2,998
2,7123
2,2156
2,7255
2,10697
2,8283
2,4213
2,382
2,998
2,8261
2,8283
2,9325
2,7952
2,9837
2,10902
2,7123
2,903
2,268
2,9533
2,861
2,11300
2,2156
2,11216
2,6145
2,11391
2,9963
2,7719
2,9264
2,6904
2,2185
2,7450
2,10697
2,9191
2,10892
2,6910
2,9360
2,1627
2,3897
10,7906
10,9948
10,10588
10,650
10,1930
10,11615
10,9068
10,10722
10,5631
10,6144
10,1168
10,5126
10,2705
10,2323
10,9589
10,540
10,7934
10,2076
10,8448
10,9978
10,10489
10,11256
10,3998
10,10494
10,4001
10,6550
10,8332
10,3877
10,9607
10,1834
10,11012
10,689
10,5028
10,3372
10,9743
10,1982
10,9120
10,9630
10,11285
10,11544
10,1861
10,6454
10,8625
10,10028
10,11430
10,1108
10,9141
10,9778
10,9906
10,11566
10,10546
10,8894
10,9150
10,8534
10,4949
10,10170
10,9919
10,5851
10,4447
10,10690
10,10820
10,11458
10,9546
10,11330
10,11336
10,7140
148,7906
148,9948
148,10588
148,650
148,1930
148,11615
148,9068
148,10722
148,5631
148,6144
148,1168
148,5126
148,2705
148,2323
148,9589
148,540
148,7934
148,2076
148,8448
148,9978
148,10489
148,11256
148,3998
148,10494
148,4001
148,6550
148,8332
148,3877
148,9607
148,1834
148,11012
148,689
148,5028
148,3372
148,9743
148,1982
148,9120
148,9630
148,11285
148,11544
148,1861
148,6454
148,8625
148,10028
148,11430
148,1108
148,9141
148,9778
148,9906
148,11566
148,10546
148,8894
148,9150
148,8534
148,4949
148,10170
148,9919
148,5851
148,4447
148,10690
148,10820
148,11458
148,9546
148,11330
148,11336
148,7140
197,7792
197,3999
197,2486
197,9690
197,9780
197,5051
197,8280
197,9610
197,8931
197,7257
197,2775
197,6103
197,1912
197,4568
197,7905
197,2039
197,9473
197,11105
197,3485
197,8857
197,5045
197,419
197,5529
197,10501
197,5759
197,4847
197,1824
197,11509
197,5780
197,9035
197,6381
197,9690
197,6381
197,8931
197,11105
197,5759
197,10340
197,11491
197,7792
197,6021
197,10347
197,8059
197,1824
197,5780
197,419
197,3485
197,9473
197,5529
197,9610
197,10501
197,5029
197,10251
197,8857
197,9875
197,7836
197,2486
197,11027
197,7010
197,5045
197,11293
197,11554
197,6461
197,7478
197,9018
197,9780
197,10928
197,2775
197,6103
197,9035
