node1,node2
44,3103
44,4751
44,4401
44,9813
44,2532
44,1126
44,21324
44,4031
44,21274
44,5589
44,568
44,21681
44,19964
44,18235
44,839
44,16105
44,7288
44,13140
44,19621
44,19127
44,4077
44,14703
44,1618
44,20168
44,13408
44,11248
44,12025
44,7919
44,12745
44,5525
44,6398
44,20516
44,9567
44,4527
44,2160
44,20037
44,18167
44,20889
44,9996
44,6706
44,4917
44,11850
44,11473
44,17591
44,5165
44,13074
44,8062
44,3074
44,18638
44,7978
44,3981
44,18539
44,18624
44,1517
44,21087
44,5010
44,5317
44,8795
44,7606
127,11273
127,17384
127,917
127,3735
127,5896
127,18966
127,14561
127,6980
127,14777
127,9284
127,11332
127,15236
127,8883
127,7412
127,11634
127,3911
127,11341
127,21729
127,12936
127,2311
127,21569
127,17726
127,20892
127,6441
127,770
127,10468
127,15090
127,679
127,12283
127,3757
127,12464
127,19743
127,9319
127,16977
127,13915
127,1123
127,16895
568,44
568,3103
568,4751
568,4401
568,9813
568,2532
568,1126
568,21324
568,4031
568,21274
568,5589
568,18638
568,21681
568,19964
568,18235
568,839
568,16105
568,7288
568,13140
568,19621
568,19127
568,4077
568,14703
568,1618
568,20168
568,13408
568,11248
568,12025
568,7919
568,12745
568,5525
568,6398
568,20516
568,9567
568,4527
568,2160
568,20037
568,18167
568,20889
568,9996
568,6706
568,4917
568,11850
568,11473
568,17591
568,5165
568,13074
568,8062
568,3074
568,7978
568,3981
568,18539
568,18624
568,1517
568,21087
568,5010
568,5317
568,8795
568,7606
679,127
679,6045
679,7078
679,5458
679,917
679,20930
679,11401
679,2805
679,13543
679,22328
679,18966
679,14561
679,961
679,1387
679,6980
679,5373
679,6160
679,2442
679,20343
679,11775
679,16470
679,7412
679,9528
679,2981
679,9125
679,10318
679,2420
679,3911
679,7325
679,3334
679,3097
679,11289
679,2311
679,4772
679,17726
679,9220
679,20433
679,7961
679,14497
679,22248
679,13862
679,770
679,20276
679,12353
679,22057
679,20653
679,14723
679,3757
679,11352
679,12408
679,5897
679,12464
679,15615
679,3996
679,13426
679,16977
679,17376
679,16093
679,15531
679,21569
679,6806
679,732
679,13915
679,1123
679,16895
715,3499
715,9074
715,8524
715,19792
715,9677
715,961
