node1,node2
38,22452
38,34992
38,34536
38,3491
38,9677
38,31518
38,29886
38,23838
38,35008
38,29052
38,6301
38,3922
38,10595
38,29218
38,13638
38,10001
38,30002
38,21358
38,35388
38,18876
38,5323
38,29421
38,29557
38,21957
38,31890
38,36628
38,24347
38,16321
38,6645
38,29082
38,22642
38,20236
38,25249
38,14131
38,5506
38,11271
38,33988
38,27803
73,24499
73,119
73,1095
73,1295
73,27803
73,2281
73,2282
73,24910
73,15799
73,2672
73,2806
73,3153
73,3157
73,18850
73,3187
73,3236
73,31520
73,3508
73,144
73,4067
73,4734
73,4757
73,5497
73,5743
73,32026
73,16119
73,18787
73,36839
73,13757
73,18187
73,9143
73,13783
73,13791
73,16098
73,4628
73,10332
73,22797
73,14578
73,33952
73,33296
73,24207
73,5800
73,21095
73,25392
73,33973
73,13504
73,25422
73,36581
73,9240
73,19651
73,19669
73,29303
73,20780
73,28822
73,17875
73,29078
73,6631
73,16264
73,22442
73,22062
73,10289
73,19738
73,31630
73,15178
73,15181
73,15192
73,14018
73,25575
73,35456
73,29612
73,19153
73,17530
73,19819
73,16371
73,36819
73,17542
73,23958
73,30489
73,11305
73,34785
73,11814
73,15321
73,22881
73,24568
73,13991
73,22151
73,28118
73,9532
73,18775
73,16600
73,9547
73,25752
73,11911
73,11921
73,22782
73,6165
73,21070
73,19962
73,24609
73,14242
73,19253
73,7339
73,36426
73,8518
73,20333
73,35773
73,24133
73,36528
73,30814
73,9677
73,33471
73,24730
73,35822
73,17484
73,7343
73,33303
73,16686
73,36628
73,7491
73,14624
73,19037
73,16726
73,11028
73,14436
73,23664
73,1979
73,26156
73,20173
73,35258
73,21322
73,33206
73,34689
73,19096
73,13857
73,16154
73,6452
73,25706
73,15940
73,11081
73,23764
73,14502
73,26130
73,32710
73,4245
73,26585
73,23793
73,25771
73,26003
73,32961
73,7631
73,18084
73,5361
73,2979
73,13656
73,19222
73,10403
73,23112
73,28591
73,29813
73,10001
73,21334
73,17121
73,6223
73,10559
73,14712
73,22715
73,4772
73,10071
73,28671
73,31170
73,18996
73,7810
73,20442
73,37557
73,17675
73,7852
73,28755
73,20927
73,33054
73,6751
73,34390
73,14814
73,6486
73,25210
73,33793
73,20547
73,22854
73,24049
73,10840
73,13294
73,10220
94,27803
94,2635
94,3889
94,5362
94,5634
94,7562
94,7882
94,8263
94,19738
94,33671
94,9955
94,18945
94,10347
94,11279
94,12731
94,13836
94,14099
94,14417
94,14624
94,8515
94,34315
94,19222
94,10528
94,10559
94,10568
94,14865
94,25424
94,25752
94,27363
94,28777
94,31890
94,29886
94,35388
94,5323
94,31659
94,32961
94,35523
94,15191
94,35867
94,34774
94,36790
94,35258
94,5300
94,32149
94,36927
119,35773
119,10403
119,24133
119,31509
119,9051
119,16119
119,7195
119,19222
119,22442
119,23838
119,25752
119,19096
119,29055
119,28755
119,13058
119,23112
119,35822
119,2328
119,2806
119,33054
119,18562
119,35008
119,14670
119,28777
119,36819
119,14228
119,31170
119,31890
119,6631
119,36578
119,7339
119,4370
119,19153
119,12885
119,26958
119,8518
119,2281
119,5629
119,31197
119,23050
119,22881
119,34785
119,27803
119,31725
119,73
144,29421
144,974
144,1164
144,27803
144,1923
144,2078
144,2281
144,2397
144,23589
144,7027
144,22666
144,37557
144,22321
144,5061
144,7825
144,27302
144,18876
144,25102
144,31890
144,8635
144,20236
144,30199
144,21375
144,36652
144,37107
144,23664
144,35523
144,31376
144,27450
144,4757
144,73
144,25630
144,15313
144,31917
144,7006
144,29052
144,21754
144,26666
144,10595
144,36578
144,13708
144,32415
144,9008
144,9633
144,10840
144,33643
144,10568
144,5506
144,18406
144,31104
144,23838
144,17446
144,23050
144,35008
144,11573
144,19222
144,7075
144,29082
144,35773
144,28777
452,26007
452,19669
452,19633
452,20173
452,22329
452,10568
452,6134
452,13638
452,19224
452,37107
452,16469
452,25752
452,1295
452,7006
452,15192
452,34734
452,4734
452,15906
452,9006
452,36799
452,17675
452,2078
452,34390
452,7317
452,32060
452,27803
452,22666
452,21375
452,16390
452,27302
452,23604
